h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,97.0,94.0,99.5,100.0,100.0,—,stabil
1.0,94.0,88.0,99.0,100.0,100.0,—,stabil
2.0,91.0,82.0,98.5,100.0,100.0,—,stabil
3.0,88.0,76.0,98.0,100.0,100.0,—,stabil
4.0,85.0,70.0,97.5,100.0,100.0,—,stabil
5.0,82.0,64.0,97.0,100.0,100.0,—,stabil
6.0,79.0,58.0,95.0,100.0,100.0,—,stabil
7.0,76.0,52.0,93.0,100.0,100.0,—,stabil
8.0,73.0,46.0,91.0,100.0,100.0,—,stabil
9.0,70.0,40.0,89.0,100.0,100.0,—,stabil
10.0,67.0,34.0,87.0,100.0,98.0,—,BEOBACHTEN
11.0,64.0,28.0,85.0,100.0,96.0,—,BEOBACHTEN
12.0,61.0,22.0,83.0,100.0,94.0,—,WARNUNG
13.0,58.0,16.0,81.0,100.0,92.0,—,WARNUNG
14.0,55.0,10.0,79.0,100.0,90.0,—,WARNUNG
15.0,52.0,4.0,77.0,100.0,88.0,—,WARNUNG
16.0,49.0,0.0,75.0,100.0,86.0,—,WARNUNG
17.0,46.0,0.0,73.0,100.0,84.0,—,WARNUNG
18.0,43.0,0.0,71.0,100.0,82.0,—,WARNUNG
19.0,40.0,0.0,69.0,100.0,80.0,—,WARNUNG
20.0,37.0,0.0,63.0,100.0,78.0,—,WARNUNG
21.0,34.0,0.0,57.0,100.0,76.0,—,WARNUNG
22.0,31.0,0.0,51.0,100.0,74.0,—,WARNUNG
23.0,28.0,0.0,45.0,100.0,72.0,—,WARNUNG
24.0,50.0,22.0,39.0,100.0,70.0,"W,F",WARNUNG
25.0,47.0,16.0,37.0,100.0,68.0,—,WARNUNG
26.0,44.0,10.0,35.0,100.0,66.0,—,WARNUNG
27.0,41.0,26.0,33.0,100.0,64.0,W,BEOBACHTEN
28.0,38.0,20.0,27.0,97.0,62.0,—,WARNUNG
29.0,35.0,14.0,21.0,94.0,60.0,—,WARNUNG
30.0,57.0,30.0,15.0,91.0,58.0,"W,F",BEOBACHTEN
31.0,54.0,24.0,13.0,88.0,56.0,—,WARNUNG
32.0,51.0,18.0,11.0,85.0,54.0,—,WARNUNG
33.0,48.0,34.0,9.0,82.0,52.0,W,BEOBACHTEN
34.0,45.0,28.0,7.0,82.0,50.0,—,BEOBACHTEN
35.0,42.0,22.0,5.0,79.0,48.0,—,WARNUNG
36.0,64.0,38.0,0.0,76.0,46.0,"W,F",BEOBACHTEN
37.0,61.0,32.0,0.0,76.0,44.0,—,BEOBACHTEN
38.0,58.0,26.0,0.0,76.0,42.0,—,BEOBACHTEN
39.0,55.0,42.0,0.0,73.0,40.0,W,stabil
40.0,52.0,36.0,0.0,73.0,38.0,—,BEOBACHTEN
41.0,49.0,30.0,0.0,73.0,36.0,—,BEOBACHTEN
42.0,71.0,46.0,0.0,70.0,34.0,"W,F",stabil
43.0,68.0,40.0,0.0,70.0,34.0,—,stabil
44.0,65.0,34.0,0.0,70.0,32.0,—,BEOBACHTEN
45.0,62.0,50.0,0.0,70.0,30.0,W,stabil
46.0,59.0,44.0,0.0,70.0,30.0,—,stabil
47.0,56.0,38.0,0.0,70.0,28.0,—,BEOBACHTEN
48.0,78.0,54.0,0.0,70.0,26.0,"W,F",stabil
49.0,75.0,48.0,0.0,70.0,26.0,—,stabil
50.0,72.0,42.0,0.0,70.0,26.0,—,stabil
51.0,69.0,58.0,0.0,70.0,24.0,W,stabil
52.0,66.0,52.0,0.0,70.0,24.0,—,stabil
53.0,63.0,46.0,0.0,70.0,24.0,—,stabil
54.0,85.0,62.0,0.0,70.0,24.0,"W,F",stabil
55.0,82.0,56.0,0.0,70.0,24.0,—,stabil
56.0,79.0,50.0,0.0,70.0,24.0,—,stabil
57.0,76.0,66.0,0.0,70.0,24.0,W,stabil
58.0,73.0,60.0,0.0,70.0,24.0,—,stabil
59.0,70.0,54.0,0.0,70.0,24.0,—,stabil
60.0,67.0,70.0,0.0,70.0,24.0,W,stabil
61.0,89.0,64.0,1.5,70.2,24.0,F,stabil
62.0,86.0,58.0,0.0,70.2,24.0,—,stabil
63.0,83.0,74.0,0.0,70.2,24.0,W,stabil
64.0,80.0,68.0,1.5,70.3,24.0,—,stabil
65.0,77.0,62.0,1.5,70.5,24.0,—,stabil
66.0,74.0,78.0,0.0,70.5,24.0,W,stabil
67.0,71.0,72.0,1.5,70.7,24.0,—,stabil
68.0,68.0,66.0,1.5,70.8,24.0,—,stabil
69.0,90.0,82.0,0.0,70.8,24.0,"W,F",stabil
70.0,87.0,76.0,1.5,71.0,24.0,—,stabil
71.0,84.0,70.0,1.5,71.2,24.0,—,stabil
