h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,97.0,94.0,99.5,100.0,100.0,—,stabil
1.0,94.0,88.0,99.0,100.0,100.0,—,stabil
2.0,91.0,82.0,98.5,100.0,100.0,—,stabil
3.0,88.0,76.0,98.0,100.0,100.0,—,stabil
4.0,85.0,70.0,97.5,100.0,100.0,—,stabil
5.0,82.0,64.0,97.0,100.0,100.0,—,stabil
6.0,79.0,58.0,95.0,100.0,100.0,—,stabil
7.0,76.0,52.0,93.0,100.0,100.0,—,stabil
8.0,73.0,46.0,91.0,100.0,100.0,—,stabil
9.0,70.0,40.0,89.0,100.0,100.0,—,stabil
10.0,67.0,34.0,87.0,100.0,98.0,—,BEOBACHTEN
11.0,64.0,28.0,85.0,100.0,96.0,—,BEOBACHTEN
12.0,61.0,22.0,83.0,100.0,94.0,—,WARNUNG
13.0,58.0,16.0,81.0,100.0,92.0,—,WARNUNG
14.0,55.0,10.0,79.0,100.0,90.0,—,WARNUNG
15.0,52.0,4.0,77.0,100.0,88.0,—,WARNUNG
16.0,49.0,0.0,75.0,100.0,86.0,—,WARNUNG
17.0,46.0,0.0,73.0,100.0,84.0,—,WARNUNG
18.0,43.0,0.0,71.0,100.0,82.0,—,WARNUNG
19.0,40.0,0.0,69.0,100.0,80.0,—,WARNUNG
20.0,37.0,0.0,63.0,100.0,78.0,—,WARNUNG
21.0,34.0,0.0,57.0,100.0,76.0,—,WARNUNG
22.0,31.0,0.0,51.0,100.0,74.0,—,WARNUNG
23.0,28.0,0.0,45.0,100.0,72.0,—,WARNUNG
24.0,25.0,0.0,39.0,100.0,70.0,—,WARNUNG
25.0,22.0,0.0,33.0,100.0,68.0,—,WARNUNG
26.0,19.0,0.0,27.0,97.0,66.0,—,WARNUNG
27.0,16.0,0.0,21.0,94.0,64.0,—,WARNUNG
28.0,13.0,0.0,15.0,91.0,62.0,—,WARNUNG
29.0,10.0,0.0,9.0,88.0,60.0,—,WARNUNG
30.0,7.0,0.0,3.0,85.0,58.0,—,WARNUNG
31.0,4.0,0.0,0.0,82.0,56.0,—,WARNUNG
32.0,1.0,0.0,0.0,79.0,54.0,—,WARNUNG
33.0,0.0,0.0,0.0,76.0,52.0,—,WARNUNG
34.0,0.0,0.0,0.0,73.0,50.0,—,WARNUNG
35.0,0.0,0.0,0.0,70.0,48.0,—,WARNUNG
36.0,0.0,0.0,0.0,67.0,46.0,—,WARNUNG
37.0,0.0,0.0,0.0,64.0,44.0,—,WARNUNG
38.0,0.0,0.0,0.0,61.0,42.0,—,WARNUNG
39.0,0.0,0.0,0.0,58.0,40.0,—,WARNUNG
40.0,0.0,0.0,0.0,55.0,38.0,—,WARNUNG
41.0,0.0,0.0,0.0,52.0,36.0,—,WARNUNG
42.0,0.0,0.0,0.0,49.0,34.0,—,WARNUNG
43.0,0.0,0.0,0.0,46.0,32.0,—,WARNUNG
44.0,0.0,0.0,0.0,43.0,30.0,—,WARNUNG
45.0,0.0,0.0,0.0,40.0,28.0,—,WARNUNG
46.0,0.0,0.0,0.0,37.0,26.0,—,WARNUNG
47.0,0.0,0.0,0.0,34.0,24.0,—,WARNUNG
48.0,25.0,22.0,0.0,31.0,22.0,"W,F",WARNUNG
49.0,22.0,16.0,0.0,28.0,20.0,—,WARNUNG
50.0,19.0,10.0,0.0,25.0,18.0,—,WARNUNG
51.0,16.0,26.0,0.0,22.0,16.0,W,WARNUNG
52.0,13.0,20.0,0.0,19.0,14.0,—,WARNUNG
53.0,10.0,14.0,0.0,16.0,12.0,—,WARNUNG
54.0,32.0,30.0,0.0,13.0,10.0,"W,F",BEOBACHTEN
55.0,29.0,24.0,0.0,10.0,8.0,—,WARNUNG
56.0,26.0,18.0,0.0,7.0,6.0,—,KRITISCH
57.0,23.0,34.0,0.0,4.0,4.0,W,KRITISCH
58.0,20.0,28.0,0.0,1.0,2.0,—,KRITISCH
59.0,17.0,22.0,0.0,0.0,0.0,—,TOT
60.0,39.0,38.0,0.0,0.0,0.0,"W,F",TOT
61.0,36.0,32.0,0.0,0.0,0.0,—,TOT
62.0,33.0,26.0,0.0,0.0,0.0,—,TOT
63.0,30.0,42.0,0.0,0.0,0.0,W,TOT
64.0,27.0,36.0,0.0,0.0,0.0,—,TOT
65.0,24.0,30.0,0.0,0.0,0.0,—,TOT
66.0,46.0,46.0,0.0,0.0,0.0,"W,F",TOT
67.0,43.0,40.0,0.0,0.0,0.0,—,TOT
68.0,40.0,34.0,0.0,0.0,0.0,—,TOT
69.0,37.0,50.0,0.0,0.0,0.0,W,TOT
70.0,34.0,44.0,0.0,0.0,0.0,—,TOT
71.0,31.0,38.0,0.0,0.0,0.0,—,TOT
