DO
events	211121
substance_sediments	160553
checkpoint_writes	115699
checkpoints	66278
checkpoint_blobs	37805
entity_denkstream	30722
splitter_verbindungen	25012
entity_dom_events	18359
schlafbriefe	11917
rag_embeddings	7741
rag_source_chunks	7741
splitter	5265
rag_source_objects	3943
entity_thinking_log	3258
flarum_stopp_protokoll	1061
translations	1046
post_similarity	1035
wesen_chat_verlauf	769
wesen_fuersorge	158
rag_retrieval_results	142
resonanz_emoji_counts	96
ftw_posts	46
resonanzen	32
user_modules	30
rag_retrieval_runs	23
post_reads	21
post_spuren	21
schattenkommentare	19
nachrichten	12
group_chat_messages	11
entity_fokus_events	10
raeume	10
entity_relationships	10
checkpoint_migrations	10
human_users	9
human_profiles	9
system_flags	8
entity_slots	8
group_posts	8
dienst_konfiguration	8
cyberlinge	8
substance_catalog	7
entity_states	7
entity_profiles	7
wesen_entwicklung	7
entity_activity	6
group_polls	6
spuren	6
groups	6
group_topics	6
llm_warteschlange	5
mw_kalender	5
follows	3
benachrichtigungen	2
ankuendigungen	1
bild_moderation	1
gedankenwelt_eintraege	1
group_creation_policy	1
nutzer_sichtbarkeit	1
themen	1
traumspuren	1
verweilen	1
wesen_gedanken	1
widmungen	1
keimkoerper	0
schatten_antworten	0
human_material_to_splitter	0
human_material_sources	0
sleep_phases	0
group_poll_votes	0
splitter_aufnahmen	0
splitter_knoten	0
group_memberships	0
group_material_links	0
gedankenblasen	0
substance_events	0
entity_wuensche	0
supporter_bewerbungen	0
entity_substance_use	0
thema_cluster_vorschlaege	0
thema_similarity	0
ankuendigungen_kommentare	0
entity_substance_state	0
traumkandidaten_events	0
traumkandidaten_log	0
zitate	0
traumszenarien	0
traumtagebuch	0
unterthemen	0
entity_selfmodel_entries	0
users	0
wesen_web_besuche	0
entity_screenshots	0
wesen_eigene_dienste	0
blase_verwendungen	0
profil_gestaltung	0
post_relationen	0
mw_traumtagebuch	0
mw_tagebuch	0
mw_notizen	0
